"date","id","title","rubric","subrubric","publikations_status","primaryTenantCode","kanton"
2023-07-03,"11fcc780-b506-42e4-9abf-6ee64da21bbe","Neueintragung MURTEZOVIC BUJAR - PIZZA EAGLE, Satigny","HR","HR01","PUBLISHED","shab","GE"
2023-07-03,"8f3484d7-5ead-4a5c-8d59-5e2f83447140","Neueintragung Solar Systeme Sàrl, Saint-Léonard","HR","HR01","PUBLISHED","shab","VS"
2023-07-03,"02c9dbf5-2336-453c-9375-f5343c1c9da2","Neueintragung Acolad Switzerland AG, succursale du Petit-Lancy, Lancy","HR","HR01","PUBLISHED","shab","GE"
2023-07-03,"9c7eaba1-7213-4e45-af58-d4343b27022c","Neueintragung Z Kawkabani Logopédiste, Genève","HR","HR01","PUBLISHED","shab","GE"
2023-07-03,"c9ba5cab-ed11-4adc-9e07-178acd48f42d","Neueintragung Moralii Interior Design GmbH, Romanshorn","HR","HR01","PUBLISHED","shab","TG"
2023-07-03,"15a137cb-c3c5-49e1-b0d4-ba51d77babdf","Neueintragung CMV1986 CRAZYCAR DI CARLO M. VIOTTI, Lugano","HR","HR01","PUBLISHED","shab","TI"
2023-07-03,"a39a15fb-793a-4e71-aa33-99e8d1717d9c","Neueintragung bar gala Sàrl, Lausanne","HR","HR01","PUBLISHED","shab","VD"
2023-07-03,"11bb1592-b41f-48d8-b1d8-349e1aef3848","Neueintragung MA Sockelteam GmbH, Wettingen","HR","HR01","PUBLISHED","shab","AG"
2023-07-03,"25cce089-6036-488f-901e-a0e82d6f559a","Neueintragung GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG BAUUNTERNEHMEN MESHREHIONHLOBALBUD, Kiew, Zweigniederlassung St. Gallen, St. Gallen","HR","HR01","PUBLISHED","shab","SG"
2023-07-03,"c2055649-ae36-4399-bbfc-33fd364c5a84","Neueintragung Restaurant Kreuz (Susanne Münsch), Oberriet (SG)","HR","HR01","PUBLISHED","shab","SG"
2023-07-03,"9579ca4d-4676-449e-8f11-c4352487c1eb","Neueintragung DiJo Gartenbau Arben Isufi, Reinach (AG)","HR","HR01","PUBLISHED","shab","AG"
2023-07-03,"2dc5f894-6183-498c-95db-ac3f8473b979","Neueintragung Auto Garage Jovic, Landquart","HR","HR01","PUBLISHED","shab","GR"
2023-07-03,"0d61c250-5907-4d0b-8a09-7378b73e321c","Neueintragung Deligia Coinverse, Bremgarten (AG)","HR","HR01","PUBLISHED","shab","AG"
2023-07-03,"cc0292b6-1d7a-4523-abfc-45fbfe3aedf5","Neueintragung BEP Invest AG, Diepoldsau","HR","HR01","PUBLISHED","shab","SG"
2023-07-03,"89015c2e-c2d2-44cf-9bbe-39cdfe32c8dc","Neueintragung MGW Immobilien AG, Basel","HR","HR01","PUBLISHED","shab","BS"
2023-07-03,"4d4b4d6c-1c0e-4366-aa14-acdce63880cc","Neueintragung Fillistorf Farben AG, Tentlingen","HR","HR01","PUBLISHED","shab","FR"
2023-07-03,"1d8e1bda-c2b8-45e9-900f-83947c789cc8","Neueintragung Allemann Holding AG Blauen, Blauen","HR","HR01","PUBLISHED","shab","BL"
2023-07-03,"0904a3bf-0f7c-436a-9c7f-718fb6fadf67","Neueintragung Peyer'sche Tobias Stimmer-Stiftung, Schaffhausen","HR","HR01","PUBLISHED","shab","SH"
2023-07-03,"8e226cc2-c5b6-4306-acf7-e1e67bf22061","Neueintragung CIF Centre d'Imagerie de Fribourg Sud, succursale de 3R Radiologie SA, Villars-sur-Glâne","HR","HR01","PUBLISHED","shab","FR"
2023-07-03,"fe21638a-9f11-410a-a02f-e3636c653a5e","Neueintragung Monti Mobil Mauro Montanari, Lausen","HR","HR01","PUBLISHED","shab","BL"
2023-07-03,"e482f137-f705-44a4-9936-3f4e30099481","Neueintragung Verband Schweizerischer Errichter von Sicherheitsanlagen - SES, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"39d355a6-8b90-44fa-8687-d767cd8af5c5","Neueintragung Schlageter-Hofmann Stiftung, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"11241253-9024-44d9-b5f7-49ab48ff785e","Neueintragung KTK Swiss Energy AG, Vorderthal","HR","HR01","PUBLISHED","shab","SZ"
2023-07-03,"fc52cab3-fb7c-46ce-9c4a-d9cdf8f00d07","Neueintragung Beratung 3plus Marianne Zaugg GmbH, Bern","HR","HR01","PUBLISHED","shab","BE"
2023-07-03,"e65cc0d9-703a-4d10-b0e8-e0c03f6ffcb5","Neueintragung Imob-Fa SA, Romont (FR)","HR","HR01","PUBLISHED","shab","FR"
2023-07-03,"34e8f138-0df3-4cee-ac38-58bd321d1d13","Neueintragung Proficient Dream Design KMG, Schönenwerd","HR","HR01","PUBLISHED","shab","SO"
2023-07-03,"d7ec03ca-7adb-4ef4-b780-9feca4803815","Neueintragung Tina Beauty by Sinnathamby, Selzach","HR","HR01","PUBLISHED","shab","SO"
2023-07-03,"69d86ca9-36f0-494d-9bfe-c64617ed45fb","Neueintragung Outlive AG, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"441bb285-39f7-4a5a-8a3f-dfc49d0da6cd","Neueintragung N&B Salon GmbH, Bülach","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"336d91b2-c90c-4791-a628-e64b3588d992","Neueintragung No. Juan Vais, Wangen-Brüttisellen","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"a9fe199c-3f86-4b56-a830-96291f33ad94","Neueintragung Carrosserie Luciano, Niederhasli","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"4d1cbbbe-a9f3-461a-b150-5da89053cb7a","Neueintragung DASAG Schweiz-Kunststein Niederer, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"8547f8cd-907f-47e2-a1e2-6996e8e3e5bf","Neueintragung CapCognition KLG, Illnau-Effretikon","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"64315438-4890-4b2b-b1e7-05b23b5f9fd4","Löschung Keelee GmbH, Bern","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"b7a42f4f-daf3-4684-b558-ef3741c5e604","Löschung ewl Rechenzentrum AG, Luzern","HR","HR03","PUBLISHED","shab","LU"
2023-07-03,"dd562c6e-791d-4e8d-87c3-789addd312d0","Löschung UltimateBusiness24 GmbH in Liquidation, Ostermundigen","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"6d65be16-bdf1-4a74-b29f-4a7f007efe67","Löschung SAYHEY Jason Schoch, Biel/Bienne","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"fc30e7dd-a43d-4972-bac7-933877dd4f89","Löschung Stadtführungen/Vermittlung, Dolores Linggi, Schwyz","HR","HR03","PUBLISHED","shab","SZ"
2023-07-03,"bb427381-ce21-4685-b7b7-54ab68ab07b1","Löschung Sonrysa SA, Lausanne","HR","HR03","PUBLISHED","shab","VD"
2023-07-03,"c6e23bbd-893b-4942-be90-9258b5bd5594","Löschung INATEG Ingenieur-Atelier Energie und Gebäude - Anton Schreiner, Visp","HR","HR03","PUBLISHED","shab","VS"
2023-07-03,"60c63f8a-45da-4b53-99ca-346280e04967","Löschung Fingest Sàrl en liquidation, Fully","HR","HR03","PUBLISHED","shab","VS"
2023-07-03,"f97dc7a1-32ec-4cd4-bac2-cfd681a896d8","Löschung Garage du Simplon Martigny SA en liquidation, Martigny","HR","HR03","PUBLISHED","shab","VS"
2023-07-03,"e910b0f3-7818-4f9e-a868-c1cb432f9368","Löschung EC Entreprise et Conseil SA en liquidation, Arzier-Le Muids","HR","HR03","PUBLISHED","shab","VD"
2023-07-03,"ebf87c43-dde9-42a9-883a-4d1e7d13f0cf","Löschung Bunge Corporate SA, Genève","HR","HR03","PUBLISHED","shab","GE"
2023-07-03,"367c513d-2e75-42bf-9bec-0c2a9b23456d","Löschung Limmat Wealth AG, Zürich","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"0ef9e39d-43fb-4a89-8aa0-171bc70baccf","Löschung H + P Scherrer Holding AG, Urdorf","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"c636f0e7-ecc7-4408-9948-e127cc6b0dda","Löschung Fiduciaire Raisin-Dadre Sàrl, Chamoson","HR","HR03","PUBLISHED","shab","VS"
2023-07-03,"694762e6-8733-47be-a7e7-012a335557b8","Löschung Bertrand Leitenberg, La Chaux-de-Fonds","HR","HR03","PUBLISHED","shab","NE"
2023-07-03,"80d545fb-12e7-486f-9ee6-b85990f3fc7f","Löschung magic by nature angélina joyeau, Genève","HR","HR03","PUBLISHED","shab","GE"
2023-07-03,"4ecc55bd-4515-46d3-b4de-3cacfa3fbacc","Löschung Ciné O Vidéo SA, Genève","HR","HR03","PUBLISHED","shab","GE"
2023-07-03,"a5fab185-4f05-48d5-a601-8c51d3fc4ac4","Löschung Ramon Salla, Vionnaz","HR","HR03","PUBLISHED","shab","VS"
2023-07-03,"0dca8bd8-f2cf-4fad-bab8-63dd37972057","Löschung Ulrich Holding AG, Ottenbach","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"c23eed07-e820-4977-866a-252df995340f","Löschung Rüegger Elektronik AG, Wetzikon (ZH)","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"dd58c1f8-fbe7-4bce-b298-794c17bf4f5e","Löschung Luterbacher & Partner AG, Hinwil","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"dfff0c4b-5af6-4e60-aaf1-382cbe0d10be","Löschung Beratung 3plus Marianne Zaugg, Bern","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"f8947aa5-799d-426c-937e-56ea9966863e","Löschung Tèaura, Inhaber McKee, Küsnacht (ZH)","HR","HR03","PUBLISHED","shab","ZH"
